x-ray and chest,x-ray and brain,x-ray and abdominal,x-ray and coronal,x-ray and artery,x-ray and lobe,x-ray and tumor,x-ray and liver
postoperative chest x-ray after 10 days,,,,,,,
antro-posterior chest x-ray,,,,,,,
x-ray chest.,,,,,,,
chest x-ray showing mediastinal dilation at first presentation.,,,,,,,
chest x-ray showing left sided consolidation with pleural reaction and right sided diffuse pneumonitic changes.,,,,,,,
chest x-ray showing an area of consolidation in the right lower field (straight arrow) with pleural effusion (bent arrow).,,,,,,,
chest x-ray anteroposterior after puncture (lying).,,,,,,,
"case 2 chest x-ray at time 1744. abnormal chest x-ray taken on admission to the emergency room. shows bilateral airspace with ground glass predominately on the lower right side. the image shows no kerley b lines, vascular redistribution, or pleural effusions. heart size appears normal.",,,,,,,
a chest x-ray showing the right ventricular lead residing at a normal position within the right ventricle after the revision.,,,,,,,
"chest x-ray of patient when she represented to the hospital emergency department. significant for multifocal infiltrates with a differential of multifocal pneumonia, aspiration or alveolar edema.",,,,,,,
preoperative chest x-ray showed a dextroposition and mesocardia with scimitar vein.,,,,,,,
"chest x-ray showing a 6×5-cm solid mass in the hilum of the left lung, directly invading the mediastinum, with left phrenic nerve palsy.",,,,,,,
chronic catheter fracture. catheter fragment incidentally found on chest x-ray 4 years following chronic port removal. the patient was asymptomatic and opted for no intervention,,,,,,,
chest x-ray on day 3 after extubation.,,,,,,,
chest x-ray on the day of hospitalization. there was a heterogeneous opacity in the middle and lower third of the right lung field and in the middle third of the left lung field,,,,,,,
immediate post-operative chest x-ray following the.,,,,,,,
chest x-ray and abdominal x-ray at two hours of age. the endotracheal tube tip is in the right main bronchus and was withdrawn 15–20 mm. the cardiothalamic silhouette is normal and lung and pleural spaces are clear. no pneumothorax is seen. the umbilical venous catheter lies to the right of the midline at t10.,,,,,,,
chest x-ray 10 hours later with consolidation and loss of air entry.,,,,,,,
chest x-ray showed left sided pleural effusion,,,,,,,
chest x-ray presenting opacity in the right hemithorax.,,,,,,,
normal chest x-ray,,,,,,,
complete lead fracture. pa chest x-ray of a malfunctioning pacemaker due to lead complete fracture shows discontinuation of the lead wire (white arrow) proximal to the generator with wide gaps among the lead segments representing dislodgement and migration.,,,,,,,
chest x-ray on admission day.,,,,,,,
chest x-ray showing mediastinal widening with a right-sided convex-shaped shadow.,,,,,,,
a.p. view x-ray chest showing coin in upper esophagus.,,,,,,,
,,lateral abdominal x-ray: aneurysm of the abdominal aorta,,,,,
chest x-ray taken preoperatively showing an obliterated right costodiaphragmatic angle.,,,,,,,
chest x-ray showing a metallic foreign body impacted in the right bronchus with collapse of the middle and lower lobes on the right side.,,,,,,,
chest x-ray film 5 days after double lung transplantation following surfactant replacement therapy.,,,,,,,
,,abdominal x-ray showing diffuse small bowel dilation,,,,,
x-ray of the chest showing an infiltrate in the lower lobe of the right lung. reproduced with permission from al-jahdali h [15],,,,,,,
chest x-ray face-on in prone position (case 3).,,,,,,,
chest x-ray showing a large extra pulmonary opacity with well-defined medial margin and lateral margin merging with chest wall on right side,,,,,,,
"veno-venous cannulation for ards. this chest x-ray demonstrates severe airspace disease in a patient with ards. the dual-lumen ecmo cannula (arrows) can be seen passing through the internal jugular vein, superior vena cava, and terminating in the inferior vena cava at the level of the hepatic vein",,,,,,,
"chest x-ray of the patient on admission day 1. a chest radiograph shows bilateral pulmonary infiltrates. arrow 1 indicates an infiltrative shadow overlapping the second arch in the middle to lower field of the right lung, while arrow 2 indicates consolidation with air bronchograms on the lateral side of the left middle lung field.",,,,,,,
"a repeat chest x-ray (day 7) revealed diffuse bilateral infiltrates or edema, predominantly interstitial in character with cardiomegaly (not significantly improved from admission, in spite of aggressive diuresis).",,,,,,,
"rtg lateral view: chest x-ray has shown pleura-diaphragmatic adhesions, other findings are normal",,,,,,,
chest x-ray,,,,,,,
chest x-ray showing a consolidation at the base of the right lung (arrow).,,,,,,,
chest x-ray pa view after treatment with steroids showing near normal resolution of reticulo-nodular infiltrates,,,,,,,
chest x-ray showing emphysema.,,,,,,,
chest x-ray on discharge,,,,,,,
chest x-ray showing pulmonary edema,,,,,,,
chest x-ray showing air-fluid level that suggest large hiatal hernia (arrows).,,,,,,,
x-ray chest showing right diaphragmatic hernia.,,,,,,,
x-ray chest after 4 weeks of antibiotics showing normal lung fields,,,,,,,
"chest x-ray three weeks after presentation, showing persistent right lower lobe consolidation.",,,,,,,
chest x-ray showing development of a right-sided empyema in the patient.,,,,,,,
"a frontal chest x-ray showing changes consistent sarcoidosis. there is bilateral bulky hilar and paratracheal lymphadenopathy together with extensive, confluent reticulonodular opacities with a characteristic distribution in the mid and upper zones.",,,,,,,
,,abdominal x-ray revealed a dilated sigmoid colon with bilateral diaphragmatic elevation.,,,,,
chest x-ray revealed diffuse hazy infiltration in bilateral lung rields.,,,,,,,
"chest x-ray day 22 after chemotherapy (anc was 11,500 cell/μl).",,,,,,,
chest x-ray showing subcutaneous emphysema (upper arrow) and pneumomediastinum at the cardiac border (lower arrow).,,,,,,,
"chest x-ray shows minimal bilateral pleural effusion, lower zone pulmonary infiltrates and cardiomegaly.",,,,,,,
chest x-ray shows hyperlucent and hyperexpanded right lung with mediastinal shifting to the left side along with attenuated but maintained vascularity of the right lung,,,,,,,
chest x-ray revealing right lung agenesis and dextrocardia.,,,,,,,
chest x-ray showing cardiomegaly and pulmonary congestion.,,,,,,,
chest x-ray obtained after the diagnosis of pneumocystis pneumonia showed areas of ground-glass opacity bilaterally in almost all lung fields.,,,,,,,
,,abdominal x-ray of the child showing nephrocalcinosis,,,,,
chest x-ray pa view,,,,,,,
,,plain abdominal x-ray: the v-p shunt catheter inside the abdominal cavity.,,,,,
the left internal jugular catheter is not across the midline with catheter kinking shown on this chest x-ray.,,,,,,,
postmortem on table (intra-operative) chest x-ray showing a large lucent area projecting over cardiac shadow. most of the cardiac silhouette has been replaced by the lucent shadow that is outline peripherally by the cardiac muscle,,,,,,,
chest x-ray of the patient showing a radio-opaque rounded shadow alongside the cardiac silhouette. this radio-opaque shadow is the hernial sac.,,,,,,,
antero-posterior chest x-ray showed right pleural effusion without pulmonary congestion. the second right angle was enlarged and the angle in the bronchial bifurcation was wide open. these findings implied biatrial enlargement.,,,,,,,
chest x-ray of 73-year-old male revealing large right unilateral pleural effusion.,,,,,,,
portable chest x-ray (digitally rotated). there is a large homogeneous alveolar infiltrate in the right upper lung field. there is rightward deviation of the trachea at the level of the aortic arch with no evidence of aortic aneurysm.,,,,,,,
"chest x-ray of the same girl 12 days after admission, loculated empyema, and foreign body at almost the same position.",,,,,,,
chest x-ray reveals a raised right hemidiaphragm with a homogeneous opacity at the right lower lobe with obliteration of the right costophrenic angle.,,,,,,,
posteroanterior chest x-ray showing parenchymal infiltrations and cavitary lesions.,,,,,,,
(chest x-ray on day 3 of admission). extent of opacification increased with coalescing of nodules (right > left).,,,,,,,
,,dilated loops of small bowel without colonic distension are seen on this abdominal x-ray. there is no subdiaphragmatic free gas present.,,,,,
lateral x-ray of chest shows intestinal loops in posterior aspect of hemithorax,,,,,,,
normal chest-x-ray taken 3 days before discharge from hospital after re-evaluation and wedge resection of lung pseudotumor.,,,,,,,
chest x-ray showing left upper lobe cavity with crescent,,,,,,,
"postoperative chest x-ray ap view, after tracheostomy, on mechanical ventilation showing both lungs being ventilated",,,,,,,
chest x-ray image showing central venous catheter in right internal jugular vein (green arrow) and guidewire within inferior vena cava descending to right femoral vein (red arrows).,,,,,,,
"pre-operative chest x-ray showing left lung opacities, blunting of costophrenic angles and pneumomediastinum",,,,,,,
chest x-rays on the day of presentation. soft tissue density at the mediastinum measuring 3 × 3 cm,,,,,,,
chest x-ray at the discharge showed both stents in place.,,,,,,,
chest x-ray,,,,,,,
chest x-ray showing air fluid levels and gastric fundal gas.,,,,,,,
chest x-ray (posterior anterior view) in a subject suffering from anthracofibrosis. please note the non-specific infiltration in the left lower zone and the mass lesion in the right lower zone.,,,,,,,
,,,coronal x-ray with fracture of the scaphoid waist (arrow) and opening of the radial aspect of the distal radial epiphysis (*).,,,,
the chest x-ray on icu admission reveals pulmonary edema.,,,,,,,
chest x-ray showing bilateral infiltration of lung.,,,,,,,
"chest x-ray shows bronchovascular markings are accentuated, with left upper zone pulmonary koch's",,,,,,,
"left lateral view of chest x-ray. on lateral view, the heart is displaced posteriorly with retrosternal luscency representing an anteriorly herniated lobe.",,,,,,,
chest x-ray of nn showing bilateral opacities,,,,,,,
chest x-ray showed a protrusion of the aortopulmonary window (arrowheads),,,,,,,
,,"postnatal thoracoabdominal x-ray: there are 12 dorsal vertebrae of normal morphology, with total agenesis of the lumbosacral spine (arrow); the omphalic sac containing digestive clarity",,,,,
chest x-ray of the neonate on first day of admission showing multiple cysts and hyperaeration of the right lower lobe with a mediastinal shift to the left (arrow).,,,,,,,
"chest x-ray chest x-ray (cxr) showing multiloculated cavitary lesions in the right upper and middle lobes, indicated by the white arrow.",,,,,,,
a chest x-ray showed infiltrative changes on left lower lung and pleural effusion with suspicion for tumor.,,,,,,,
"chest x-ray showing multiple cavitary lesions of left upper lobe, with fibrosis of mediastinum causing deviation of trachea to left side and tenting of left lobe of diaphragm.",,,,,,,
x-ray chest with mandible showed absence of calcified crowns of the first and second deciduous molar in twin a.,,,,,,,
