computed tomography and chest,computed tomography and lung,computed tomography and lungs,computed tomography and brain,computed tomography and abdominal,computed tomography and coronal,computed tomography and artery,computed tomography and lobe,computed tomography and tumor,computed tomography and liver
,,,,"abdominal computed tomography scan of patient with hereditary angioedema showing thickening of the small bowel (stacked-coin appearance) due to angioedema.notes: curved arrow indicates prominent fold thickening; straight arrows indicate pelvic ascites. reprinted with permission from the american journal of roentgenology. de backer ai, de schepper am, vandevenne je, schoeters p, michielsen p, stevens wj. ct of angioedema of the small bowel. am j roentgenol. 2001;176(3):649–652.39",,,,,
,,,,,,,,pelvic enhanced computed tomography (ct) examination of case 1. black arrow showing the thickened endometrium and white arrow showing a 5.8 × 7.4 cm tumor with uneven enhancement shadow in the right uterine adnexa.,
contrast-enhanced computed tomography image of the chest shows a speculated mass lesion with central necrosis in the upper lobe of the right lung (arrow),,,,,,,,,
,,,,contrast-enhanced abdominal computed tomography scan demonstrating a low density mass in the lower pole of the spleen (arrow).,,,,,
,multislice computed tomography of the thorax with metastasis in the left lung.,,,,,,,,
,,,,,,,,,"computed tomography image. computed tomography contrast-enhanced image, demonstrates a hemorrhagic lesion in liver segment v, presenting mild heterogeneous peripheral contrast enhancement."
chest computed tomography scan shows the multiple metastatic lymph nodes enlargement at subcarinal area (white arrow).,,,,,,,,,
,,,computed tomography scan of the brain demonstrating recurrence of extradural collection causing subfalcine herniation,,,,,,
,,,noncontrast computed tomography brain showed loss of gray-white matter differentiation and evidence of cerebral edema,,,,,,
,,,,,,,,,contrast-enhanced computed tomography taken on the 25th day of hospitalization shows abscess-like ring enhancement in the s8 liver lesion.
computed tomography scan of the chest on admission showed bilateral patchy ground glass opacities.,,,,,,,,,
,,,,,"coronal computed tomography scan of the neck showing a large endotracheal soft tissue mass with coarse calcification foci on the left side of the subglotic area, causing severe narrowing of the tracheal lumen",,,,
,,,,,,,,post-contrast computed tomography scan (siemens positron plus 4) showing a tumorous mass located at the right adnexal region with a broad vaginal cuff bordering a thickened bladder wall.,
chest computed tomography demonstrates dilated main pulmonary artery and proximal branches.,,,,,,,,,
,sagittal computed tomography (lung window) scan of the last patient showing a big packet that contains smaller baggies (arrow).,,,,,,,,
"preoperative axial chest computed tomography image shows acute angulation of the branching portion of the tracheal bronchus, mimicking the carina (arrow).",,,,,,,,,
computed tomography (ct) scan of the chest shows a mass opacity involving the right hilar lymph node.,,,,,,,,,
chest computed tomography scan of our patient showing air-space consolidations and atelectasis in both lower lobes.,,,,,,,,,
,,,,august 2015. abdominal positron emission tomography-computed tomography shows the tumor in the pancreatic remnant,,,,,
,,,,abdominal computed tomography showing an 8-cm heterogenous right adrenal lesion with calcifications.,,,,,
,,,,,axial-coronal computed tomography imaging shows a giant right subclavian aneurysm of 12 cm diameter.,,,,
,,,,an abdominal computed tomography image showing rectal stenosis with thickening of the rectosigmoid wall.,,,,,
,,,brain computed tomography 3 days after conservative management. the previous noted air is completely disappeared.,,,,,,
,,,,"abdominal enhanced ct (shanxi provincial cancer hospital on october 19, 2016) showing high density shadow in the lower abdominal intestine, with no overt anastomotic wall thickening and clear peripheral space. ct = computed tomography.",,,,,
chest computed tomography (ct) scan on admission showing ill defined nodular opacities and consolidations in both lungs.,,,,,,,,,
,,,,,,,a contrast-enhanced computed tomography image of the thyroid gland. a low-density area was observed in the right lobe.,,
chest computed tomography,,,,,,,,,
chest high-resolution computed tomography.note: images of interstitial disease are visible in the right medial segments and in the left basal area of the lung (white arrows).,,,,,,,,,
,computed tomography scan showing a large mass in the left lung field,,,,,,,,
,,,,"abdominal computed tomography scan: 3-cm circumferential wall thickening of the entire stomach, mainly at the fundus and antrum, can be seen. absence of contrast enhancement.",,,,,
,,,noncontrast computed tomography brain showing intracerebral hematoma and bony chip,,,,,,
,,,,"abdominal computed tomography scan showing dilated loops of proximal small bowel, with thickened, enhancing walls reported as suggestive of ischaemic bowel.",,,,,
chest computed tomography showing a tumor located around bronchus of the right upper lobe,,,,,,,,,
,"a 15-year-old girl with mild respiratory symptoms and a confirmed diagnosis of h1n1. a computed tomography scan performed at the carina level shows centrilobular nodules and a tree-in-bud pattern heterogeneously distributed through the lungs, as well as a pleural-based consolidation in the right lower lobe. the girl recovered without the need for admission to the intensive care unit.",,,,,,,,
,,,,,"on a coronal computed tomography image taken 2 mo after autologous stem-cell transplantation, the spleen was enlarged, measuring 17 cm in the longest dimension, and indicative of recurred lymphoma. the enlarged spleen abutted to the gastric fundus.",,,,
chest computed tomography on admission.,,,,,,,,,
,,,,,,,,,computed tomography: multiple nonenhancing hypodense lesions in the liver and spleen
,,,,,"ct sinus coronal section showing sinonasal sarcoma. ct, computed tomography.",,,,
,,,,,,,computed tomography revealed a right lower lobe soft tissue density mass.,,
,,,,,"post contrast coronal reformatted computed tomography image showing heterogeneous mass “arrow heads” with a defect at its superior aspect “arrow” in keeping with perforation as well as moderate amount of free fluid of high density, suggesting hemoperitoneum",,,,
,computed tomography thorax (lung window section) showing multiple variable sized thin-walled cysts in both the lungs,,,,,,,,
chest computed tomography shows thickened visceral pleura (white arrow) and an alveolarpleural fistula (apf) (black arrow) at the lateral aspect of the right upper lobe with capsulized interlobar effusion (arrow head),,,,,,,,,
,,,,"abdominal computed tomography (ct) with intravenous contrast detected a ulcerated massat the proximal ascending right colon, with associated adenopathy of the ileo-colic pedicle.",,,,,
,,,,,computed tomography. coronal view revealing emphysematous changes in the bladder wall.,,,,
computed tomography scan of chest showing right pleural effusion with pleural nodules and masses.,,,,,,,,,
,,,a brain computed tomography image showing the thrombus in the left middle cerebral artery (arrow),,,,,,
,computed tomography scan demonstrating a right suprahilar lung mass with massive mediastinal adenopathy invading the superior vena cava and right pulmonary artery,,,,,,,,
,,,,computed tomography (ct) shows the enlarged duodenum and a mass lesion protruding into the muscular layer of the abdominal wall (arrowhead).,,,,,
,,,unenhanced brain computed tomography scan (axial view):  ectopic multiple gross calcifications of falx cerebri are visible.,,,,,,
,whole body fluorodeoxyglucose-positron emission tomography/ computed tomography (fdg pet/ct) maximum intensity projection image showing decrease in primary right lower lobe lung mass and mediastinal nodes. diffuse increased uptake in left hemipelvis remains unchanged (paget's disease),,,,,,,,
,,,,,,,"computed tomography scan of the thorax showing a large lobulated mass in the right upper lobe, measuring 3.3×1.6 cm.",,
chest computed tomography shows pneumonic consolidations in the right lower lobe with pleural effusion.,,,,,,,,,
,,,,,,,,computed tomography: transversal view of a 9–cm tumor in the upper pole of the left kidney.,
,,,,,preoperative coronal section computed tomography highlighting the right sphenoid heterogeneous opacification with signs of remodeling in the wall of the sphenoid sinus and bone erosion.,,,,
,,,computed tomography brain after the surgery suggestive of pachymeningitis,,,,,,
,,,,axial contrast computed tomography demonstrates internal bolster in the subcutaneous tissue of the anterior abdominal wall without evidence of contrast extravasation.,,,,,
,,,,,unenhanced computed tomography of the pelvis in coronal plane showing the impacted stent in the transplant kidney with fractured distal end (arrow),,,,
,,,"computed tomography of the brain shows intracranial calcifications, porencephalic cyst, and atrophy of the left cerebral hemisphere.",,,,,,
computed tomography scan of the chest showed a mass in the upper lobe of the right lung near the mediastinum.,,,,,,,,,
