mri + t1-weighted,mri + t2-weighted,mri,x-ray,computed tomography
,,"axial pd-weighted tse mri of a 15-year-old male with a recurrent lpd. at the medial facet of the patella, a full-thickness defect of the cartilage (grade 4) with ulceration of the bone is demonstrated (white arrows). at the lateral femoral condyle, a cartilage composing > 50% of the cartilage thickness and showing a small ulceration to the subchondral bone is defined as a grade 3 lesion (black arrow).",chest x-ray on pod 9 after nhf therapy was applied shows improvement of the atelectasis.,axial 64-slice high-resolution computed tomography thorax showing cystic spaces in the left lower lobe
,,mri before surgery,"figure 5. x-ray image of a hip implant, used to determine the fill ratio.",abdominal dynamic computed tomography showed a well-enhanced 60 mm mass in the early phase at segment 3 of the liver.
,,dynamic contrast enhanced mri of the artery phase showed a small defect in the left portal vein (arrow).,chest x-ray lateral view.,"axial computed tomography (ct) image showing the characteristic hypodense condition of the lesion compatible with a fat-containing tumor, in this case a subpleural lipoma."
,,mri appearance before radiotherapy.,x-ray of gastro-jejuno-stoma,a computed tomography (ct) scan of the sigmoid notch
,,mri axial cut at s1 level.,"chest x-ray (posteroanterior view) displaying bilateral, ovoid-shaped perihilar opacities extending to lower lung zones with loss of silhouette sign on the left cardiac border",noncontrast axial computed tomography image shows a mixed solid (dashed white arrow) and cystic (solid white arrow) temporooccipital mass with a hyperattenuating solid component and a punctate calcification peripherally (dotted white arrow).
,,enhanced magnetic resonance image (mri) of the sagittal section of patient 1 showing the narrowing of the nodular lesions below the hypothalamus region following treatment.,mobile chest x-ray displaying oligemic lung fields,non contrast-enhanced chest computed tomography (ct) in a case of acute fibrinous organizing pneumonia (afop). non contrast-enhanced chest computed tomography (ct) shows consolidation of the left lower lobe with an air bronchogram.
,,"mri of the cranium revealed infarct areas of posterior limb of capsula interna, right globus pallidus, left occipital lobe and bilateral thalamus.",preoperative lateral c-spine x-ray demonstrating os odontoideum,axial computed tomography demonstrating a traumatic anterior arch atlas fracture
,,magnetic resonance imaging (mri) showing small and oval shaped lesions in anterior and peripheral aspects of pons and left cerebellar hemisphere as hypersignal intensities in dual image,postoperative lateral x-ray of the right knee.,"axial coronary computed tomography angiogram image demonstrates early opacification of the coronary sinus (open arrow), dilated, and tortuous rca (white arrow)."
,,"mri follow up at 1 year post-operation (glued amic®, medial femoral condyle): proton density weighted sequence (pdw) in sagittal orientation. defect filling almost complete (20 x 20 mm, see arrow), surface remaining slightly uneven, good marginal integration, cartilage repair tissue isointense to adjacent genuine cartilage.",plain lateral x-rays of the cervical spine demonstrating a complete c2–c3 dislocation upon the patient’s admission,"portal phase-enhanced computed tomography performed on the second hospital day showed no significant abnormal finding in the biliary tract, except for the single hepatic cyst on the left lateral segment."
,,coronal view mri with arrow showing the myolipoma at the tongue base.,postoperative sagittal c-spine x-ray showing rigid posterior instrumented fusion from occiput to c2.,computed tomography (ct) revealed a well-circumscribed cystic mass located in the right lower quadrant of the abdomen (arrow).
,,sagittal mri slice of the right wrist. the proximal pole of the capitate has a low-intensity signal (milliez type i).,lateral x-ray before radial head reduction.,high resolution computed tomography thorax showing a well-defined thick walled lesion with air fluid level and multiple air foci within it in the apical and posterior segment of right lower lobe and lateral segment of right middle lobe lower and mid zone
,,"staging mri demonstrating low rectal mass, invading potential anterior resection margin.",lateral x-ray images. 1 year after surgery,"whole body (18f)-fdg-pet-ct scan showing a 77 mm x 55 mm primary tumor in the left breast (arrow 1), multiple widespread liver masses (arrow 2), and an upper left nodular abdominal lesion (arrow 3).the metastases are so widespread, the use of arrows is nearly insufficient. abbreviations: ct, computed tomography; fdg, fluorodeoxyglucose; pet, positron emission tomography."
,,73-year-old female with spindle-cell sarcoma. initial mri study. sagittal t1w t1 fat-suppressed contrast-enhanced image of the left knee shows a tangle of vessels in the subcutaneous soft tissues posterior to the neurovascular bundle and medial head of gastrocnemius musculature. extension over proximal calf (arrow) with marked enhancement on the postcontrast images (arrow) was erroneously thought to represent a venous angioma. note intermediate signal intensity of the lesion.,anteroposterior x-ray of an 83-year-old patient with groin pain. non-union of the right anterior acetabular column and ischium can be seen. an apparently healed fracture in the left anterior acetabular column is also visible.,chest computed tomography scans showed pneumothorax
,,mri 10 years after surgery showing right sided frontal subcutis atrophy.,the first chest x-ray. we find a pneumothorax on the right with a subtotal lung collapse.,"coronal contrast-enhanced computed tomography scan of the abdomen and pelvis, performed three weeks after revascularization, demonstrating persistent gastric dilatation"
,,mri showing atrial hematoma (asterisk) in contact with aortic root.,x-ray pelvis with both hips (frog lateral view) showing good range of movement at 11 years followup,"antral thickening and gastric outlet obstruction by the computed tomography scan with contrast. very diffuse wall thickening in the antrum of the stomach with partial gastric outlet obstruction, without perigastric fat infiltration or regional lymphadenopathy."
,,60-year-old female with suspected hepatic metastasis. t1 mri without contrast.,x-ray skull lateral view showing nail depth,"postoperative image, brain computed tomography scan (with contrast)"
,,coronal t2 image of mri,x-ray demonstrated abnormal limbs of case 1.,computed tomography showing a hyperdense hemorrhagic soft tissue mass (*) in the right parieto-temporal region
,,mri of the left thigh showing a sinus tract (↔) from the proximal femur.,x-ray chest showing right mid zone cavitary lesion,computed tomography of the neck showing lymph node enlargement in the right supraclavicular area.
,,mri: the caudate lobe showed compensatory hypertrophy after operation.,migrated cu-t in plain x-ray pelvis,"computed tomography scan images of lung prior and post-azd9291 treatmenta. disease progressed in dec,2015 after treatment of erlotinib and chemotherapy, prior-azd9291. patient had symptoms of cough and short of breath. b. partial response after one month of azd9291 treatment. symptoms were much relieved."
,,mri lesion pretreatment t3n1m0,chest x-ray obtained in june 2014 showing reticulonodular shadows in both lung fields,computed tomography angiogram coronal view demonstrated several engorged intercostal arteries and mammary arteries.
